brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
xiaomi,6616,347,165,0.052448609431680775,0.4755043227665706,0.024939540507859733
hitachi,121,3,3,0.024793388429752067,1.0,0.024793388429752067
ion,123,5,3,0.04065040650406504,0.6,0.024390243902439025
vr,41,1,1,0.024390243902439025,1.0,0.024390243902439025
nzxt,124,7,3,0.056451612903225805,0.42857142857142855,0.024193548387096774
powerman,291,9,7,0.030927835051546393,0.7777777777777778,0.024054982817869417
hikvision,168,4,4,0.023809523809523808,1.0,0.023809523809523808
sho-me,802,27,19,0.03366583541147132,0.7037037037037037,0.02369077306733167
panasonic,11326,383,268,0.033815998587321205,0.6997389033942559,0.02366236976867385
ginzzu,1312,90,31,0.06859756097560976,0.34444444444444444,0.023628048780487805
leeco,594,37,14,0.06228956228956229,0.3783783783783784,0.02356902356902357
remax,681,20,16,0.02936857562408223,0.8,0.023494860499265784
ismartdigi,86,3,2,0.03488372093023256,0.6666666666666666,0.023255813953488372
turbokids,43,2,1,0.046511627906976744,0.5,0.023255813953488372
robiton,131,5,3,0.03816793893129771,0.6,0.022900763358778626
alcatel,2200,98,50,0.04454545454545455,0.5102040816326531,0.022727272727272728
prestigio,220,4,5,0.01818181818181818,1.25,0.022727272727272728
oneplus,44,1,1,0.022727272727272728,1.0,0.022727272727272728
exegate,1593,77,36,0.04833647206528562,0.4675324675324675,0.022598870056497175
redmond,4492,131,101,0.029162956366874444,0.7709923664122137,0.022484416740872662
allocacoc,89,3,2,0.033707865168539325,0.6666666666666666,0.02247191011235955
laut,45,2,1,0.044444444444444446,0.5,0.022222222222222223
baseus,978,27,21,0.027607361963190184,0.7777777777777778,0.02147239263803681
tp-link,1926,57,41,0.029595015576323987,0.7192982456140351,0.021287642782969886
gp,235,3,5,0.01276595744680851,1.6666666666666667,0.02127659574468085
araree,471,13,10,0.027600849256900213,0.7692307692307693,0.021231422505307854
deppa,95,3,2,0.031578947368421054,0.6666666666666666,0.021052631578947368
wize,48,1,1,0.020833333333333332,1.0,0.020833333333333332
smarterra,386,10,8,0.025906735751295335,0.8,0.02072538860103627
mirex,98,1,2,0.01020408163265306,2.0,0.02040816326530612
wiiix,50,4,1,0.08,0.25,0.02
perfeo,2069,51,41,0.024649589173513776,0.803921568627451,0.019816336394393428
powercom,356,7,7,0.019662921348314606,1.0,0.019662921348314606
cyberpower,368,9,7,0.024456521739130436,0.7777777777777778,0.019021739130434784
d-link,790,18,15,0.02278481012658228,0.8333333333333334,0.0189873417721519
